State,State Code,Year,Year Code,Month,Month Code,Months,Deaths
Alabama,1,2007,2007,"Jan., 2007",2007,Jan,4281
Alabama,1,2007,2007,"Feb., 2007",2007,Feb,3991
Alabama,1,2007,2007,"Mar., 2007",2007,Mar,4178
Alabama,1,2007,2007,"Apr., 2007",2007,Apr,3801
Alabama,1,2007,2007,"May, 2007",2007,May,3867
Alabama,1,2007,2007,"Jun., 2007",2007,Jun,3582
Alabama,1,2007,2007,"Jul., 2007",2007,Jul,3711
Alabama,1,2007,2007,"Aug., 2007",2007,Aug,3828
Alabama,1,2007,2007,"Sep., 2007",2007,Sep,3593
Alabama,1,2007,2007,"Oct., 2007",2007,Oct,3853
Alabama,1,2007,2007,"Nov., 2007",2007,Nov,3851
Alabama,1,2007,2007,"Dec., 2007",2007,Dec,4160
Alabama,1,2008,2008,"Jan., 2008",2008,Jan,4336
Alabama,1,2008,2008,"Feb., 2008",2008,Feb,4401
Alabama,1,2008,2008,"Mar., 2008",2008,Mar,4371
Alabama,1,2008,2008,"Apr., 2008",2008,Apr,3944
Alabama,1,2008,2008,"May, 2008",2008,May,3920
Alabama,1,2008,2008,"Jun., 2008",2008,Jun,3681
Alabama,1,2008,2008,"Jul., 2008",2008,Jul,3667
Alabama,1,2008,2008,"Aug., 2008",2008,Aug,3775
Alabama,1,2008,2008,"Sep., 2008",2008,Sep,3730
Alabama,1,2008,2008,"Oct., 2008",2008,Oct,3781
Alabama,1,2008,2008,"Nov., 2008",2008,Nov,3920
Alabama,1,2008,2008,"Dec., 2008",2008,Dec,4181
Alabama,1,2009,2009,"Jan., 2009",2009,Jan,4205
Alabama,1,2009,2009,"Feb., 2009",2009,Feb,3837
Alabama,1,2009,2009,"Mar., 2009",2009,Mar,4208
Alabama,1,2009,2009,"Apr., 2009",2009,Apr,3916
Alabama,1,2009,2009,"May, 2009",2009,May,3936
Alabama,1,2009,2009,"Jun., 2009",2009,Jun,3726
Alabama,1,2009,2009,"Jul., 2009",2009,Jul,3877
Alabama,1,2009,2009,"Aug., 2009",2009,Aug,3800
Alabama,1,2009,2009,"Sep., 2009",2009,Sep,3690
Alabama,1,2009,2009,"Oct., 2009",2009,Oct,4074
Alabama,1,2009,2009,"Nov., 2009",2009,Nov,3813
Alabama,1,2009,2009,"Dec., 2009",2009,Dec,4388
Alabama,1,2010,2010,"Jan., 2010",2010,Jan,4473
Alabama,1,2010,2010,"Feb., 2010",2010,Feb,4073
Alabama,1,2010,2010,"Mar., 2010",2010,Mar,4261
Alabama,1,2010,2010,"Apr., 2010",2010,Apr,3843
Alabama,1,2010,2010,"May, 2010",2010,May,3894
