,Notes,UCD - ICD Chapter,UCD - ICD Chapter Code,Race,Race Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Year,Year Code,Deaths,Population
0,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2004.0,2004.0,12.0,33672,Unreliable
1,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2008.0,2008.0,12.0,41182,Unreliable
2,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2012.0,2012.0,14.0,51181,Unreliable
3,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2014.0,2014.0,15.0,59442,Unreliable
4,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2015.0,2015.0,10.0,64113,Unreliable
5,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2016.0,2016.0,19.0,66736,Unreliable
6,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,65-74 years,65-74,2017.0,2017.0,10.0,71888,Unreliable
7,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2001.0,2001.0,11.0,13719,Unreliable
8,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2004.0,2004.0,10.0,16662,Unreliable
9,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2005.0,2005.0,10.0,17690,Unreliable
10,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2008.0,2008.0,13.0,20744,Unreliable
11,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2011.0,2011.0,11.0,24148,Unreliable
12,Certain infectious and parasitic diseases,A00-B99,Asian or Pacific Islander,A-PI,Female,F,75-84 years,75-84,2012.0,2012.0,20.0,25777,77.6
